ID,MET,METphi,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,Total_products,Total_b,Total_j,Total_g,Total_leptons
0,62803.5,-1.81001,137571.0,128444.0,-0.345744,-0.307112,174209.0,127932.0,0.826569,2.332,86788.9,84554.9,-0.180795,2.18797,140289.0,76955.8,-1.19933,-1.3028,5,1,3,0,1
1,57594.2,-0.509253,161529.0,80458.3,-1.31801,1.40205,291490.0,68462.9,-2.1267400000000003,-2.5823099999999997,44270.1,35139.6,-0.70612,-0.371392,72883.9,26902.2,-1.65386,-3.12963,4,0,2,0,2
2,82313.3,1.6868400000000001,167130.0,113078.0,0.937258,-2.06868,102423.0,54922.3,1.22685,0.6465890000000001,60768.9,36244.3,1.10289,-1.43448,77714.0,27801.5,1.68461,1.3896899999999999,5,1,4,0,0
3,30610.8,2.61712,112267.0,61383.9,-1.21105,-1.4578,40647.8,39472.0,-0.0246455,-2.2228,201589.0,32978.6,-2.4960400000000003,1.13781,90096.7,26964.5,1.87132,0.817631,5,1,4,0,0
4,45153.1,-2.24135,178174.0,100164.0,1.16688,-0.0187212,92351.3,69762.1,0.7741140000000001,2.56874,61625.2,50086.7,0.652572,-3.0128,104193.0,31151.0,1.87641,0.865381,5,0,5,0,0
5,43803.1,0.572184,146274.0,111016.0,-0.776311,1.08398,1036150.0,109475.0,-2.93779,-1.5183799999999998,259026.0,71613.8,-1.95548,-1.7265400000000002,137198.0,59925.9,-1.4695,2.1894099999999996,8,1,7,0,0
6,28100.4,-0.593429,458244.0,391557.0,-0.546723,0.013274700000000002,425427.0,328566.0,-0.728581,-2.41157,126694.0,116820.0,-0.350992,2.20879,112382.0,111318.0,0.0734529,3.03096,8,2,6,0,0
7,166458.0,0.47363500000000003,848058.0,273398.0,-1.7945099999999998,2.76356,267149.0,242308.0,-0.425923,-1.5348600000000001,461064.0,159944.0,-1.71988,1.09436,75909.0,73858.8,-0.23507600000000006,-0.330519,9,4,5,0,0
8,4664.13,-1.82812,477219.0,331550.0,-0.8994840000000001,0.698675,696365.0,246682.0,-1.69714,-2.28507,987005.0,62516.5,-3.45123,-2.20772,51561.9,36406.3,-0.881624,-2.9237599999999997,7,1,6,0,0
9,17426.9,1.36317,74241.5,71823.2,-0.228244,-1.75595,60026.7,54692.0,0.414105,1.45379,217944.0,53033.2,-2.09105,-1.11338,60286.5,41261.5,-0.922507,-2.19266,7,0,7,0,0
10,9897.32,2.21424,420432.0,70493.0,2.47153,0.19072999999999998,133697.0,48168.3,1.6783,-1.99436,990339.0,31481.1,4.14154,-2.0863400000000003,51889.7,30039.5,1.13514,1.9491,6,2,4,0,0
11,33576.5,2.59861,182977.0,180488.0,0.0784115,-1.29583,124290.0,95369.5,-0.73551,2.8858,84944.7,76759.3,0.402743,2.12575,78128.9,76526.8,-0.0608056,-0.5455220000000001,8,1,7,0,0
12,113694.0,1.52959,1085520.0,228154.0,-2.24127,-0.45587,209065.0,197020.0,-0.224476,-2.57072,161876.0,47256.6,-1.89977,1.60432,48061.5,42121.7,-0.447827,1.67691,4,1,3,0,0
13,37516.4,-1.9366599999999998,269450.0,106312.0,-1.58081,-1.18755,98320.3,72056.3,0.823209,2.16438,344168.0,53961.8,-2.53951,1.04695,57684.3,48541.7,-0.563732,1.77843,5,0,5,0,0
14,32768.8,-0.0387249,67499.3,42166.3,-1.04338,-0.289046,50093.0,36617.2,0.813277,3.13253,116799.0,30054.8,-2.03357,-2.84836,28759.3,27997.1,-0.230308,2.5347299999999997,4,1,3,0,0
15,13275.3,-1.70325,148108.0,105217.0,-0.8701530000000001,0.173498,229257.0,88196.9,-1.59419,2.38005,127112.0,43544.5,-1.7298,-1.22705,45323.2,36037.8,-0.680307,2.1876,7,2,4,0,1
16,366803.0,-1.9066900000000002,271196.0,253703.0,0.170093,0.605109,1237170.0,246340.0,2.2964,2.08048,266691.0,127368.0,1.36479,-0.8215450000000001,93560.6,72652.5,0.734912,1.3560299999999998,7,3,3,0,1
17,139475.0,-3.0646,204726.0,164570.0,0.668516,-0.836168,247852.0,157263.0,1.02385,0.781844,214762.0,67532.4,1.82317,-0.41963999999999996,199550.0,57251.8,-1.91699,2.43367,12,3,8,0,1
18,63822.6,2.9792799999999997,129182.0,126756.0,-0.156052,0.054730499999999994,85277.4,65891.6,-0.742683,-2.76382,74938.4,62444.1,-0.620976,0.815905,26560.4,26372.9,0.0401727,-1.4130200000000002,6,2,4,0,0
19,18938.9,1.19446,207814.0,82942.2,-1.56752,2.42714,564891.0,62899.9,-2.88486,-1.8252099999999998,225425.0,55038.2,-2.0869,-0.308558,170286.0,45716.1,-1.9883,-1.35206,5,0,5,0,0
