ID,MET,METphi,Type_1,P1,P2,P3,P4,Type_2,P5,P6,P7,P8,Type_3,P9,P10,P11,P12,Type_4,P13,P14,P15,P16,Type_5,P17,P18,P19,P20,Type_6,P21,P22,P23,P24,Type_7,P25,P26,P27,P28,Type_8,P29,P30,P31,P32,Type_9,P33,P34,P35,P36,Type_10,P37,P38,P39,P40,Type_11,P41,P42,P43,P44,Type_12,P45,P46,P47,P48,Type_13,P49,P50,P51,P52
0,62803.5,-1.81001,j,137571.0,128444.0,-0.345744,-0.307112,j,174209.0,127932.0,0.826569,2.332,b,86788.9,84554.9,-0.180795,2.18797,j,140289.0,76955.8,-1.19933,-1.3028,m+,85230.6,70102.4,-0.6456890000000001,-1.65954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,57594.2,-0.509253,j,161529.0,80458.3,-1.3180100000000001,1.40205,j,291490.0,68462.9,-2.1267400000000003,-2.58231,e-,44270.1,35139.6,-0.70612,-0.371392,e+,72883.9,26902.2,-1.6538599999999999,-3.12963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,82313.3,1.68684,b,167130.0,113078.0,0.937258,-2.06868,j,102423.0,54922.3,1.22685,0.646589,j,60768.9,36244.3,1.10289,-1.43448,j,77714.0,27801.5,1.68461,1.38969,j,26840.0,24469.3,-0.388937,-1.64726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30610.8,2.61712,j,112267.0,61383.9,-1.21105,-1.4578,b,40647.8,39472.0,-0.0246455,-2.2228,j,201589.0,32978.6,-2.4960400000000003,1.13781,j,90096.7,26964.5,1.87132,0.817631,j,28235.4,25887.9,-0.41152799999999995,2.02429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,45153.1,-2.24135,j,178174.0,100164.0,1.16688,-0.0187212,j,92351.3,69762.1,0.7741140000000001,2.56874,j,61625.2,50086.7,0.652572,-3.0128,j,104193.0,31151.0,1.87641,0.865381,j,746585.0,26219.3,4.0418199999999995,-0.874169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,43803.1,0.572184,b,146274.0,111016.0,-0.776311,1.08398,j,1036150.0,109475.0,-2.93779,-1.51838,j,259026.0,71613.8,-1.9554799999999999,-1.72654,j,137198.0,59925.9,-1.4695,2.18941,j,95419.6,55847.5,1.12331,0.846395,j,451389.0,53178.9,-2.82784,-2.47964,j,51436.4,50713.2,0.0560289,2.25854,j,152293.0,48842.5,-1.80056,-0.704609,,,,,,,,,,,,,,,,,,,,,,,,,
6,28100.4,-0.593429,j,458244.0,391557.0,-0.546723,0.0132747,b,425427.0,328566.0,-0.728581,-2.41157,j,126694.0,116820.0,-0.350992,2.20879,j,112382.0,111318.0,0.0734529,3.03096,j,3039490.0,65143.9,4.535880000000001,1.51688,j,86235.2,65037.1,0.780704,1.50869,b,62675.6,61535.7,0.09951010000000002,0.466516,j,82070.6,45537.5,-1.18149,-3.04785,,,,,,,,,,,,,,,,,,,,,,,,,
7,166458.0,0.473635,j,848058.0,273398.0,-1.7945099999999998,2.76356,j,267149.0,242308.0,-0.42592299999999994,-1.53486,b,461064.0,159944.0,-1.7198799999999999,1.09436,j,75909.0,73858.8,-0.23507600000000003,-0.330519,b,201351.0,53338.2,-2.00218,-2.37684,b,38794.0,37225.5,0.18742899999999998,-2.78635,b,40323.4,36915.1,0.41148999999999997,1.84449,j,195049.0,28645.2,-2.60528,-1.43426,j,210687.0,26560.5,2.75992,0.315873,,,,,,,,,,,,,,,,,,,,
8,4664.13,-1.82812,j,477219.0,331550.0,-0.8994840000000001,0.698675,b,696365.0,246682.0,-1.69714,-2.28507,j,987005.0,62516.5,-3.4512300000000002,-2.20772,j,51561.9,36406.3,-0.881624,-2.92376,j,85262.1,35203.6,-1.52739,2.07148,j,202166.0,26361.8,-2.72568,-2.2135,j,56071.6,25934.6,-1.4031799999999999,1.13099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17426.9,1.36317,j,74241.5,71823.2,-0.228244,-1.75595,j,60026.7,54692.0,0.414105,1.45379,j,217944.0,53033.2,-2.09105,-1.11338,j,60286.5,41261.5,-0.922507,-2.19266,j,56587.7,36051.0,-1.01393,1.46839,j,36707.5,28128.1,-0.750243,2.6267,j,691646.0,25461.4,3.9946599999999997,0.641807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9897.32,2.21424,b,420432.0,70493.0,2.47153,0.19073,b,133697.0,48168.3,1.6783,-1.99436,j,990339.0,31481.1,4.14154,-2.08634,j,51889.7,30039.5,1.13514,1.9491,j,37847.2,29872.9,-0.7043729999999999,2.16966,j,26195.8,24349.5,0.386212,2.73124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,33576.5,2.59861,j,182977.0,180488.0,0.0784115,-1.29583,j,124290.0,95369.5,-0.73551,2.8858,b,84944.7,76759.3,0.40274299999999996,2.12575,j,78128.9,76526.8,-0.0608056,-0.545522,j,63328.8,61503.5,-0.203126,0.751769,j,52351.0,39045.5,-0.797097,1.24098,j,36061.1,27753.3,0.735029,2.83495,j,433084.0,27647.1,-3.4433,1.87109,,,,,,,,,,,,,,,,,,,,,,,,,
12,113694.0,1.52959,j,1085520.0,228154.0,-2.24127,-0.45587,b,209065.0,197020.0,-0.224476,-2.57072,j,161876.0,47256.6,-1.8997700000000002,1.60432,j,48061.5,42121.7,-0.44782700000000003,1.67691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,37516.4,-1.93666,j,269450.0,106312.0,-1.58081,-1.18755,j,98320.3,72056.3,0.823209,2.16438,j,344168.0,53961.8,-2.53951,1.04695,j,57684.3,48541.7,-0.563732,1.77843,j,49635.1,25333.2,-1.2883,1.32556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,32768.8,-0.0387249,j,67499.3,42166.3,-1.04338,-0.289046,b,50093.0,36617.2,0.813277,3.13253,j,116799.0,30054.8,-2.03357,-2.84836,j,28759.3,27997.1,-0.23030799999999998,2.53473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
