u_apercor	g_apercor	r_apercor	i_apercor	z_apercor	y_apercor
24.2444	23.9796	23.5221	22.9110	22.5258	22.3291
24.4891	23.9162	22.9237	21.8738	21.3065	21.2514
24.8740	22.9739	21.4659	20.7884	20.4623	20.4137
24.5290	24.3386	23.8912	23.2061	22.9893	23.1124
23.6412	23.3874	22.9753	22.2352	21.8097	21.5595
22.0730	21.6591	21.1190	21.0048	20.8598	20.8489
23.5479	22.9050	21.9990	21.2832	21.0385	20.9235
25.6137	24.5061	22.9105	21.6717	21.0268	20.9589
23.1410	21.9781	20.6463	20.0170	19.7138	19.7845
23.3637	23.1493	22.8094	22.4622	22.0283	21.6490
24.5509	22.9199	21.4745	20.5767	20.2971	20.3334
21.3573	21.1311	20.6577	20.4810	20.4246	22.6186
26.9191	24.8155	23.3896	22.3450	21.9677	21.7932
23.6732	23.3316	22.7426	22.5865	22.5284	22.8629
24.0759	23.8503	23.4956	23.1543	22.6449	22.4987
23.7576	23.0595	22.4796	22.2862	22.1455	22.3439
23.7813	23.5599	23.2618	22.5893	22.4140	22.3065
24.1230	23.6239	23.3026	23.1913	23.3325	23.6882
23.8164	23.6048	23.3265	22.7451	22.4373	22.6310
24.2329	23.9004	23.0995	22.7858	22.7175	22.6242
24.6428	23.6262	22.4119	21.7100	21.3647	21.3710
24.4309	24.0068	23.1648	22.8081	22.6754	22.7522
24.1426	23.6755	22.9214	22.1751	21.6627	21.7541
24.9327	24.4167	23.7102	22.8742	22.4165	22.1687
25.5598	24.1126	22.4233	21.1073	20.5101	20.3389
24.5791	24.4077	23.9003	23.3887	23.2744	23.1559
23.2412	23.1491	22.8952	22.3836	22.2501	22.3536
24.0412	23.9184	23.6926	23.4326	22.9771	23.1800
24.3287	24.1101	23.7581	23.1829	22.8328	22.7151
23.3331	22.9652	22.3281	21.6165	21.1435	21.0014
25.3522	24.5487	23.1277	21.9616	21.3711	21.3440
24.1562	23.8856	23.4780	22.6470	22.3915	22.7648
23.3661	23.1987	22.5729	22.3378	22.3561	22.3785
22.4202	21.7555	20.8709	20.5252	20.3055	20.3323
22.8493	21.0220	19.5718	19.0007	18.7593	18.6366
23.2911	21.3087	19.8106	18.8782	18.5233	18.4577
24.9532	24.6518	23.9763	23.7468	23.7231	23.4197
23.8365	23.6868	23.4537	23.0198	22.6694	22.7849
24.0070	23.8795	23.6518	23.2081	22.8194	23.0217
24.2353	24.0611	23.8691	23.3481	23.0815	22.8720
24.3676	23.9499	23.6081	23.2863	22.9766	23.0928
23.6703	23.5732	23.4527	23.3189	22.9205	22.8930
23.8714	23.3215	22.6801	21.8525	21.4408	21.2585
24.0613	23.9114	23.6093	23.0615	22.7221	22.7169
24.0347	24.0040	23.9579	23.6418	23.5566	23.1949
24.6613	24.2971	23.7707	23.7406	23.6581	23.7759
26.4795	24.3017	22.7385	21.5539	21.1520	20.8926
24.0556	23.7789	23.2917	22.5918	22.1341	22.2489
23.8976	23.2951	22.3249	21.9250	21.7302	21.5579
24.1566	24.0316	23.8282	23.2303	23.0685	23.5001
24.1058	23.9437	23.5102	22.8948	22.6947	22.5087
24.0194	23.0903	22.6285	22.3766	22.2856	22.6035
23.9058	23.5770	23.1017	22.3494	22.1205	22.2168
24.8842	23.8650	22.8771	22.4951	22.3098	22.4300
24.8727	24.6448	24.2309	23.8588	23.3019	23.0830
24.4160	24.0981	23.3667	22.9718	22.8734	22.7885
24.0967	23.3376	22.7764	22.5972	22.4854	22.7115
24.7121	24.4800	23.9270	23.4534	23.1150	23.0751
24.0943	23.9876	23.8457	23.6596	23.2342	23.1431
25.1082	24.6435	23.9745	23.7517	23.6297	23.4939
23.4418	23.2777	22.7429	21.9562	21.2613	21.1143
24.8517	24.5650	24.0928	23.5414	23.2552	23.4260
23.8152	23.6835	23.4280	23.1008	22.5841	22.4090
23.8946	23.8067	23.7003	23.2352	23.0383	23.4670
24.3192	23.7085	23.1990	23.0943	22.9600	23.3448
23.0449	22.8488	22.7138	22.4310	22.1419	22.1573
25.4982	24.9537	23.9497	23.5025	23.3117	23.1084
23.6514	23.6039	23.3480	23.0420	22.6126	23.1068
23.6009	23.3354	23.0199	22.4826	22.3269	22.2008
24.3826	24.2173	23.8983	23.3651	22.9396	22.9575
23.2053	22.7835	22.2863	21.6004	21.4022	21.2662
24.5614	24.1728	23.7113	23.0827	22.8506	23.0106
23.4933	22.9196	21.9690	21.4809	21.2805	21.0627
23.1842	23.0552	22.7960	22.2515	21.9474	21.7837
23.4584	23.3161	23.0244	22.6178	22.2006	22.0126
23.4341	23.1098	22.5157	21.7994	21.3802	21.2293
23.6850	23.2087	22.4566	22.2050	22.1119	22.3099
23.8246	23.5797	23.1711	22.7244	22.5042	22.5411
22.7695	22.2253	21.5560	21.3804	21.2282	21.2399
22.7550	21.3624	20.0516	19.5048	19.2341	19.2833
23.6469	22.5297	21.4556	21.0273	20.8184	20.7201
23.3174	22.6360	21.6178	21.0855	20.8492	20.7164
23.6022	23.4685	23.3027	22.7323	22.5617	22.7818
22.7135	22.1458	21.1556	20.7346	20.5801	20.4624
24.8616	22.7903	21.3207	20.4089	20.0910	20.0920
24.5127	24.3322	23.9509	23.3598	22.8570	22.9985
24.0203	23.0226	21.9760	21.5273	21.2738	21.2598
23.9142	23.6942	23.4733	23.2007	22.8446	22.7270
23.2738	23.0238	22.4178	21.8789	21.4393	21.3611
23.3877	22.9130	22.2449	21.9751	21.8576	21.8636
23.8171	23.5864	23.4034	23.1637	22.8797	22.6279
22.6678	22.1616	21.2236	20.7979	20.6307	20.4545
23.5349	23.3357	22.9729	22.6217	22.0962	21.9201
22.5380	21.9464	21.1185	20.7921	20.5638	20.5187
21.3033	20.5455	19.6473	19.2535	18.9696	19.1484
24.1207	23.8658	23.6730	23.4418	23.0972	22.9418
22.7903	22.3293	21.6843	21.4881	21.3431	21.4165
27.5678	26.3446	24.2942	23.0543	22.1880	21.8276
26.1279	24.1129	22.6182	21.5445	21.1568	20.9750
22.9783	22.3597	22.0922	21.9704	22.0075	21.9533
23.5467	23.3459	22.9690	22.4818	22.2917	22.6220
24.6544	23.1120	21.7902	21.2384	20.9911	21.0666
25.0991	24.6419	23.8398	23.3278	23.1736	23.2461
25.5485	23.9003	22.4653	21.3543	20.9637	21.0560
24.1923	23.8679	23.4574	22.8124	22.6110	22.7033
24.3054	24.2205	24.0758	23.5832	23.2516	23.4268
24.0419	23.9700	23.7387	23.1942	23.0965	23.0945
27.4097	25.6667	24.0927	22.9565	22.1421	21.9085
24.1748	24.0424	23.6375	23.2645	22.9746	23.3345
26.3193	24.5788	23.0571	21.8079	21.3402	21.1590
22.5441	22.2968	21.9025	21.2315	20.8054	21.3343
26.0390	24.1551	22.5574	21.2794	20.8039	20.5807
22.8423	22.1197	21.5368	21.2566	21.0550	21.1782
23.0453	23.0385	23.0731	22.9817	22.7375	22.5665
26.2083	24.2935	22.7397	21.5338	21.1247	20.9150
23.1606	23.0550	22.9335	22.6384	22.2546	23.2322
22.3541	21.8667	21.1593	20.9566	20.8347	20.8436
24.2293	24.0279	23.7894	23.2866	22.9881	22.7420
24.1775	22.9915	21.8032	21.2317	20.9085	20.8813
24.7963	24.4384	23.8397	22.9414	22.3202	22.0511
24.5896	23.2739	21.9894	20.9521	20.6170	20.3726
23.9950	23.4822	22.8221	22.7105	22.5686	22.6423
23.9128	22.9195	21.5734	20.3879	19.8204	20.2726
23.0098	21.9082	20.8639	20.0440	19.6838	20.0587
21.7902	20.2034	18.7784	18.2021	17.8803	18.0562
22.5844	22.0667	21.3182	20.7036	20.4842	20.4098
22.6960	20.9831	20.4721	20.1515	20.0831	19.9870
24.6562	24.1353	23.3138	22.7730	22.6513	22.2899
22.7310	22.0130	21.0028	20.5023	20.1921	19.8611
22.0956	21.6259	20.8131	20.5565	20.4444	20.3540
26.4843	25.2694	23.9679	22.8818	22.5144	22.0222
22.8252	21.8582	20.5916	19.8369	19.5330	19.4678
23.0387	22.8041	22.3542	21.7644	21.4785	21.3002
25.5492	25.0155	24.1277	23.6271	23.4150	23.2188
23.6341	23.2330	22.7916	22.0080	21.7433	22.1448
24.2576	23.8184	23.1401	22.8799	22.7761	22.8045
24.0527	22.2718	20.8747	20.2848	20.0292	19.7909
24.7726	24.6799	24.6327	24.1823	23.9182	23.8828
24.3815	24.0720	23.6793	23.0624	22.8659	22.8008
24.2426	24.0804	23.8426	23.4024	23.2646	23.3344
24.8771	23.7916	22.4185	21.3315	20.5264	20.4512
24.7155	23.7837	23.4709	23.2772	23.2263	23.4049
23.4986	23.3576	22.9782	22.6449	22.1743	21.7671
23.4400	23.0339	22.5809	21.9358	21.7270	21.6213
23.8967	23.4714	22.9108	22.2460	22.0188	21.9784
23.6951	23.3113	22.5165	22.2283	22.1177	21.9158
23.6724	22.9229	22.3894	22.1420	21.9798	21.9280
23.2382	22.8763	22.2018	22.0434	22.0263	22.0620
21.9522	20.2393	18.9012	18.3805	18.1317	18.0639
24.7056	22.7933	21.2727	20.6321	20.3331	20.0821
21.4592	20.7166	19.6838	19.2211	18.9728	18.6469
24.1556	23.6198	22.7369	21.9034	21.6199	21.4544
22.9001	22.1747	21.3032	20.4718	20.1861	19.9594
22.4719	20.6316	19.1900	18.6083	18.2929	18.3989
23.6520	23.5921	23.3552	22.8666	22.7124	22.5843
24.1891	23.9709	23.7509	23.1348	22.9930	23.1304
24.2529	24.0169	23.6373	22.9567	22.7344	23.0523
24.6568	24.3705	24.0371	23.3372	23.1231	22.9972
23.6082	23.4710	23.3013	23.0401	22.6648	22.7690
24.1580	24.0569	23.6804	23.1396	22.9451	23.0012
24.3301	24.1538	23.7763	23.1903	22.7835	22.5741
21.7266	21.7229	21.5280	21.1302	20.9087	23.3125
24.3633	23.9143	23.1272	22.8060	22.6992	22.8803
25.2325	23.8014	22.2855	21.1411	20.7431	20.6213
24.4140	23.9673	23.4043	22.5671	22.2857	22.1290
24.2439	23.9340	23.5275	22.8277	22.6329	22.7663
24.6766	23.9453	23.0825	22.2572	21.7211	21.4207
23.5342	23.1496	22.5959	21.8244	21.4583	21.3719
23.6674	23.2344	22.4094	22.1350	22.0279	22.6290
22.6365	21.8681	21.2856	21.0118	20.8531	21.1772
24.4129	24.0694	23.5871	22.8075	22.5571	22.6111
26.7990	25.3622	23.6009	22.3130	21.4326	21.2683
27.1251	25.6791	23.8976	22.6728	21.8034	21.4374
24.2921	24.0744	23.4390	23.0233	23.0276	23.4070
23.9574	23.6832	23.2805	22.9055	22.4585	22.0256
26.1989	24.6430	23.1902	21.9869	21.5459	21.2571
22.4104	21.6397	20.6411	20.2283	19.9060	19.9831
23.5109	23.0914	22.4886	21.6913	21.2933	21.1137
23.6194	23.2169	22.6946	21.9132	21.6856	21.4812
23.7312	23.2366	22.6210	21.7999	21.4915	21.3125
23.9184	23.3549	22.4442	22.0864	21.9190	21.6531
23.7865	23.4185	22.7512	22.5799	22.5220	22.4258
23.3739	22.9108	22.1447	21.8645	21.7291	21.7100
23.7778	23.0561	22.2287	21.9337	21.7700	21.6965
23.9419	23.7103	23.0740	22.4573	21.9220	21.6354
23.5502	22.8788	21.9910	20.9521	20.4801	20.4418
23.2553	21.3125	19.8061	19.1487	18.8742	18.8461
22.9300	22.6719	22.2004	21.5818	21.1713	21.0563
23.5902	23.0928	22.6358	22.5489	22.3858	22.6257
22.8153	22.5378	22.1739	21.7042	21.5185	21.5988
23.0993	22.5697	21.9819	21.1692	20.9135	20.7468
23.5463	23.0903	22.4321	21.8054	21.6350	21.5548
24.3584	23.9825	23.4730	22.8250	22.6459	22.6931
24.2040	24.0899	23.8780	23.3609	23.0204	22.7394
22.9667	21.4422	19.9793	19.3552	19.0736	18.9119
24.9792	23.9880	22.6369	21.3455	20.8768	20.7219
23.4030	22.8780	22.1406	21.1682	20.7436	20.5663
22.2039	21.1927	20.7128	20.4039	20.2997	20.2958
21.7947	20.0458	18.6516	18.1227	17.8421	17.9835
24.4813	24.4387	24.0883	23.7559	23.5575	23.8140
24.3291	23.7054	23.0612	22.2097	21.9505	21.8978
23.2481	22.1801	21.6643	21.3762	21.2639	21.2449
25.4977	23.5908	22.1565	21.4311	21.1483	20.9574
