,P_NAME,S_MASS,P_PERIOD,P_DISTANCE,P_HABITABLE
0,Kepler-736 b,0.86,3.6014720000000002,0.043718212,0
1,Kepler-636 b,0.85,16.080661,0.11808239,0
2,Kepler-887 c,1.19,7.6384602,0.080419696,0
3,Kepler-442 b,0.61,112.3053,0.4093272,1
4,Kepler-772 b,0.98,12.992073,0.10740815,0
5,Teegarden's Star b,0.09,4.91,0.0252,1
6,K2-116 b,0.69,4.655411,0.0480864,0
7,GJ 1061 c,0.12,6.689,0.035,1
8,HD 68402 b,1.12,1103.0,2.180981,0
9,Kepler-1544 b,0.81,168.81117,0.55710713,1
10,Kepler-296 e,0.5,34.142109999999995,0.17820205,1
11,Kepler-705 b,0.53,56.056054,0.23192623,1
12,Kepler-445 c,0.18,4.8712290000000005,0.031746273,0
13,HD 104067 b,0.62,55.806,0.26,0
14,GJ 4276 b,0.41,13.352,0.0876129,0
15,Kepler-296 f,0.5,63.33626999999999,0.26888475,1
16,Kepler-63 b,0.98,9.434150500000001,0.0881,0
17,GJ 3293 d,0.42,48.1345,0.19533637,1
